dhcp.bad_bitfield,Bogus bitfield
dhcp.option.vendor.bsdp.default_boot_image_id,Default Boot Image ID
dhcp.option.vendor.bsdp.message_size,Message Size
dhcp.option.vendor.bsdp.message_type,Message Type
dhcp.option.vendor.bsdp.netboot_firmware,NetBoot 1.0 Firmware
dhcp.option.vendor.bsdp.reply_port,Reply Port
dhcp.option.vendor.bsdp.selected_boot_image_id,Selected Boot Image ID
dhcp.option.vendor.bsdp.server_identifier,Server Identifier
dhcp.option.vendor.bsdp.server_priority,Server Priority
dhcp.option.vendor.bsdp.suboption,Option 43 Suboption
dhcp.option.vendor.bsdp.version,Version
dhcp.option.vendor.cisco.apicuuid,APIC UUID
dhcp.option.vendor.cisco.clientint,Client Int
dhcp.option.vendor.cisco.fabricname,Fabricname
dhcp.option.vendor.cisco.model,Model
dhcp.option.vendor.cisco.nodeid,Node ID
dhcp.option.vendor.cisco.serialno,SerialNo
dhcp.option.vendor.cisco.suboption,Option 43 Suboption
dhcp.option.vendor.cisco.unknown,Unknown
dhcp.option.vendor.cisco.unknown1,Unknown1
dhcp.option.vendor.cisco.unknown10,Unknown10
dhcp.option.vendor.cisco.unknown2,Unknown2
dhcp.option.vendor.cisco.unknown3,Unknown3
dhcp.option.vendor.cisco.unknown5,Unknown5
dhcp.option.vendor.cisco.unknown6,Unknown6
dhcp.option.vendor.cl.address_realm,Address Realm
dhcp.option.vendor.cl.boot_rom_version,Boot ROM version
dhcp.option.vendor.cl.cablecard_capability,CableCARD Capability
dhcp.option.vendor.cl.cm_ps_firmware_revision,CM/PS Firmware Revision
dhcp.option.vendor.cl.cm_ps_system_desc,CM/PS System Description
dhcp.option.vendor.cl.correlation_ID,Correlation ID
dhcp.option.vendor.cl.device_id_ca,Device Identification (CA)
dhcp.option.vendor.cl.device_id_x509,Device Identification (X.509)
dhcp.option.vendor.cl.device_type,Device Type
dhcp.option.vendor.cl.end,CL End
dhcp.option.vendor.cl.esafe_config_file_devices,eSafe Config File Devices
dhcp.option.vendor.cl.esafe_type,eSAFE Types
dhcp.option.vendor.cl.firewall_policy_file_version,Firewall Policy File Version
dhcp.option.vendor.cl.hardware_version,Hardware Version
dhcp.option.vendor.cl.model_number,Model Number
dhcp.option.vendor.cl.mta_mac_address,MTA MAC Address
dhcp.option.vendor.cl.oui_bytes,Organizationally Unique Identifier
dhcp.option.vendor.cl.oui_string,Organizationally Unique Identifier
dhcp.option.vendor.cl.padding,Padding
dhcp.option.vendor.cl.serial_number,Serial Number
dhcp.option.vendor.cl.software_version,Software Version
dhcp.option.vendor.cl.suboption,Option 43 Suboption
dhcp.option.vendor.cl.suboption_request_list,Suboption Request List
dhcp.option.vendor.cl.vendor_name10,Vendor Name
dhcp.option.vendor.cl.vendor_name51,Vendor Name
dhcp.option.vendor.cl.video_security_tape,Video Security Type
dhcp.option.vendor.pxeclient.boot_item,boot item
dhcp.option.vendor.pxeclient.boot_item.layer,Layer
dhcp.option.vendor.pxeclient.boot_item.type,Type
dhcp.option.vendor.pxeclient.boot_menu,boot menu
dhcp.option.vendor.pxeclient.boot_menu.desc,Description
dhcp.option.vendor.pxeclient.boot_menu.length,Length
dhcp.option.vendor.pxeclient.boot_menu.type,Type
dhcp.option.vendor.pxeclient.boot_servers,boot servers
dhcp.option.vendor.pxeclient.boot_servers.count,IP count
dhcp.option.vendor.pxeclient.boot_servers.ip,IP
dhcp.option.vendor.pxeclient.boot_servers.type,Type
dhcp.option.vendor.pxeclient.configured,Configured
dhcp.option.vendor.pxeclient.credential_types,credential types
dhcp.option.vendor.pxeclient.discovery,Discovery
dhcp.option.vendor.pxeclient.discovery_control,discovery control
dhcp.option.vendor.pxeclient.discovery_control.broadcast,Disable Broadcast
dhcp.option.vendor.pxeclient.discovery_control.bstrap,Bootstrap override
dhcp.option.vendor.pxeclient.discovery_control.multicast,Disable Multicast
dhcp.option.vendor.pxeclient.discovery_control.serverlist,Serverlist only
dhcp.option.vendor.pxeclient.end,PXE Client End
dhcp.option.vendor.pxeclient.lcm_domain,LCM Domain
dhcp.option.vendor.pxeclient.lcm_nic_option,LCM NIC option
dhcp.option.vendor.pxeclient.lcm_serial,LCM Serial Number
dhcp.option.vendor.pxeclient.lcm_server,LCM Server Name
dhcp.option.vendor.pxeclient.lcm_version,LCM Version
